"","ID","soil","lu","field","point","depth","a","m","n","df","dmin"
"1",1,"ch","ar",10,20,20,0.00590866044682854,2.78945180857231,1.01207217357698,53.0409336173246,1.28e-05
"2",2,"ch","ar",10,20,40,0.00547387570159481,2.94687170620317,0.95941164772086,74.2194654270521,1.28e-05
"3",3,"ch","ar",10,26,20,0.00490959075635806,3.03992922869347,0.956183919993313,71.7537265725759,1.28e-05
"4",4,"ch","ar",10,26,40,0.0050577999619094,2.99163947108419,0.989952781707532,53.5625950153246,1.28e-05
"5",5,"ch","ar",10,32,20,0.00481048842614246,3.04958626055787,1.00081753423605,46.8133304478713,1.28e-05
"6",6,"ch","ar",10,32,40,0.00507854243695983,2.88502635616321,1.01663496775616,43.2301735221507,1.28e-05
"7",7,"ch","ar",10,35,20,0.00394288328012878,3.43454706245568,0.892199324586897,116.519046893921,1.28e-05
"8",8,"ch","ar",10,35,40,0.00241197823392738,4.90787130519508,0.749984112295225,1850.40846088709,1.28e-05
"9",9,"ch","ar",10,40,20,0.00313198235537675,4.37062633339666,0.729278269733442,2053.41722715506,1.28e-05
"10",10,"ch","ar",10,40,40,0.0044804995765704,3.13510344269796,0.970654264161313,54.6999351260848,1.28e-05
"11",11,"ch","ar",10,42,20,0.00319716522567262,4.49023078573427,0.816311408104756,507.972463654952,1.28e-05
"12",12,"ch","ar",10,42,40,0.00429881006358198,3.54800157858666,0.901540782158245,113.416926539765,1.28e-05
"13",13,"ch","ar",10,46,20,0.00520704236623851,2.82920367220311,1.00630364432111,47.7322004519289,1.28e-05
"14",14,"ch","ar",10,46,40,0.00525095238232545,2.81484073235388,1.00531876293905,48.3723000754333,1.28e-05
"15",15,"ch","ar",10,49,20,0.00322498037956202,4.46054951197624,0.727096277279336,2890.38702553508,1.28e-05
"16",16,"ch","ar",10,49,40,0.00469336244112184,3.4398783369518,0.882247043870101,148.579524995994,1.28e-05
"17",17,"ch","ar",10,52,20,0.00184261886164995,5.87484800419745,0.634082615386209,16047.5001018499,1.28e-05
"18",18,"ch","ar",10,52,40,0.00252123426983838,4.88668418741491,0.69041693999448,4917.40533114531,1.28e-05
